size,text
18,報導
17,網友
14,表示
13,日前
13,粉絲
12,女星
12,自己
11,結婚
11,綜合報導
10,中心
10,娛樂
10,演出
9,去年
9,唱會
9,歌手
9,演唱
9,生日
8,中國時報
8,台北
8,女友
8,娛樂中心
8,演唱會
8,演藝
8,經紀
8,藝人
7,兒子
7,分手
7,因為
7,希望
7,演員
7,節目
7,開心
7,阿妹
6,主播
6,傳出
6,原因
6,台灣
6,導演
6,小巨蛋
6,工作
6,已經
6,明道
6,曝光
6,熱戀
6,現在
6,男友
6,男星
6,知名
6,老公
6,藝圈
6,身分
6,透露
6,鼓鼓
5,DJ
5,po
5,中飾演
5,今年
5,假面
5,偶像
5,兩人
5,其實
5,出席
5,分享
5,台北報導
5,團員
5,媽媽
5,影帝
5,日在
5,活動
5,演藝圈
5,爆料
5,登記
5,經紀人
5,許多
5,讓她
5,電影
5,香港
4,一天
4,一起
4,三年
4,人李
4,人的
4,他在
4,余天
4,入圍
4,公開
4,出道
4,友人
4,只是
4,可以
4,可能
4,呂麗君
4,大劉
4,大陸
4,媒體
4,學院
4,專輯
4,對方
4,小三
4,小鮮肉
4,崩潰
4,年的
4,幸運
4,感情
4,戀情
4,成員
4,成為
4,捐款
4,星光
4,李坤城
4,林志
4,林靖恩
4,歌迷
4,歲的
4,照片
4,爺孫戀
4,直播
4,看法
4,練習生
4,臉書
4,自爆
4,范文芳
4,製作
4,要求
4,質疑
4,過世
4,遭爆
4,開唱
4,開始
4,電視
4,霍建華
4,靜香
4,頒獎
3,7-ELEVEN
3,MP
3,一個
3,一樣
3,一直
3,三立
3,三角
3,不同
3,不是
3,不知
3,不過
3,世界
3,中視
3,之間
3,了女
3,交往
3,作人
3,個人
3,假面甜心
3,偷吃
3,光棍
3,前因
3,動畫
3,包括
3,千萬
3,合體
3,吸毒
3,呼籲
3,問題
3,因是
3,在台
3,在小巨蛋
3,在臉書
3,在電
3,坦承
3,夏嘉
3,大家
3,天后
3,夫妻
3,女兒
3,孩子
3,孫德榮
3,安心亞
3,完全
3,完成
3,宣傳
3,宮崎駿
3,家人
3,小孩
3,就是
3,幫助
3,年團
3,引發
3,張惠
3,強吻
3,影后
3,徐桐炘
3,快樂
3,感動
3,成了
3,打算
3,擊與
3,時間
3,曝光了
3,最後
3,月在
3,林心如
3,正妹
3,歲生日
3,沒想到
3,法院
3,消息
3,狀況
3,生活
3,男方
3,當時
3,的女
3,的她
3,的狀
3,盧廣仲
3,目前
3,直接
3,真實
3,終於
3,經紀公司
3,網路
3,美國
3,聲明
3,自己的
3,與女
3,舉行
3,舉辦
3,舊愛
3,行動
3,趙又廷
3,路易
3,踢爆
3,轉大人
3,辦演
3,追求
3,這段
3,道的
3,那個
3,鄉民
3,金馬
3,阿沁
3,陷入
3,離婚
3,需要
3,面對
3,驚呼
3,黑名單
2,ATT
2,Make
2,Real
2,TPI
2,一位
2,一出
2,一度
2,一張
2,三國智
2,三天三夜
2,三角戀
2,上周
2,上海
2,上萬
2,上高
2,不一樣
2,不僅
2,不再
2,不出
2,不少網友
2,不希望
2,不得
2,不想
2,不打算
2,不要
2,不進
2,不願
2,並將
2,丫鬟
2,中文
2,主動
2,主演
2,之前
2,了一
2,事業
2,亡兒
2,人不
2,人李坤城
2,人相
2,什麼
2,仍在
2,他一
2,他不
2,令人
2,低潮
2,何潤東
2,余祥銓
2,來台
2,來就不
2,個人首
2,個性
2,個月
2,做了
2,停播
2,偷拍
2,傑米道南
2,傳與
2,兄弟本色
2,先暖身
2,先有
2,光棍節
2,內褲
2,公布
2,公益活動
2,出席活動
2,出道的
2,初老
2,別人
2,刪文
2,前主
2,前常
2,前還
2,劇的
2,劈腿
2,劉若英
2,努力
2,動作
2,動畫長片
2,北京
2,升格
2,南韓
2,即將
2,卻因為
2,卻被
2,原因是
2,原定在
2,去年和
2,去華劇大賞投票
2,參加
2,參與
2,又驚
2,友登記
2,口中
2,只剩
2,台灣好媳婦
2,同劇
2,名模
2,名歌
2,吳舜文
2,告知
2,周旋
2,周杰倫
2,哈利波特
2,員鼓鼓
2,唐禹哲
2,商演
2,單身
2,嘉賓
2,嚇到
2,國小
2,在今
2,在他
2,在台北
2,在大
2,在電影
2,城與
2,夏嘉璐
2,外型
2,多年
2,夠了
2,大久保麻梨子
2,大學
2,大陸女星
2,天后張惠
2,太大
2,失智
2,奧斯卡影帝
2,女作家
2,女方
2,女神
2,奶奶
2,她已
2,她表示
2,好友
2,如今
2,婚姻
2,婚的
2,媽的
2,子余
2,子女
2,宣布
2,家庭
2,富男友
2,寶貝
2,將於
2,將與
2,專心
2,專訪
2,專題
2,對此
2,導致
2,小孩我
2,小時
2,小甜甜
2,就在
2,屁股
2,岳母
2,巡迴演唱會
2,已久
2,已在
2,布丁
2,布萊克
2,師弟潘裕文
2,師父
2,年前
2,年多
2,年紀
2,年過
2,弟子
2,張惠妹
2,張震嶽
2,後台
2,徒弟
2,得美
2,復出
2,微博
2,心的
2,心結
2,忙於
2,快樂寶拉
2,怎麼
2,急就醫
2,性向
2,愛女
2,愛心
2,愛情
2,成名
2,成龍
2,戲中
2,才剛
2,承諾
2,拍夠
2,拍完
2,拍新
2,拍片
2,指出
2,捐款箱
2,捧誰都不紅
2,搶先
2,支持
2,文章
2,新歌
2,新聞
2,日前卻
2,日本
2,明年
2,明道媽媽
2,星光學院
2,是第
2,是誰
2,時因
2,曖昧
2,更新
2,最佳
2,月在小巨蛋
2,月底
2,有一
2,有人
2,有感
2,有網友
2,朋友
2,期間
2,未婚
2,朴姓
2,李佳穎
2,李宗盛
2,李李仁
2,林志玲
2,林志穎
2,林淑娟
2,柯南
2,條命
2,楊乃文
2,歌后
2,歌手轉當演員
2,歌曲
2,正妹靜香
2,求婚
2,求網友
2,法律
2,法院傳票
2,泡湯
2,泰勒絲
2,流向
2,涼了
2,淚崩
2,淡出
2,港星
2,港男
2,溫昇豪
2,滿漂亮的
2,演藝學院
2,潘鈺楨
2,澄清
2,炎亞綸
2,炎神
2,為了
2,為黑名單
2,照顧
2,父親
2,王力宏
2,王少偉
2,王彩樺
2,王詩安
2,王靚蕾
2,瑞莎
2,瓦城
2,甘比
2,甚至
2,生子
2,生父
2,申請
2,男性
2,當小
2,當年
2,登記結婚
2,登頭版聲明
2,發展
2,發揮
2,發文
2,的他
2,的作
2,的個人
2,的友
2,的夫妻
2,的女友
2,的狀況
2,的生
2,的高
2,皮夾珍藏
2,監製
2,盧貝松
2,直呼
2,相處
2,看法不
2,眾人
2,確定
2,磨練
2,私下不合
2,秦嵐
2,穿越台灣五千年
2,竟是
2,童星
2,簡訊
2,籌辦演出太
2,粉絲團
2,約吃飯
2,紐約
2,結紮
2,給他
2,綜藝
2,網友心
2,網友驚呼
2,網站
2,緋聞
2,美女
2,翻版
2,老人
2,考古
2,能夠
2,脫到
2,脫髮問題
2,臉書分享
2,與呂麗君
2,與林
2,與老
2,舊疾復發
2,艾登隆沃夫
2,艾美
2,菜鳥投手
2,華人
2,落淚
2,蛋演
2,血汗
2,表示其實
2,被問
2,被批
2,被斷言
2,被目擊
2,被直擊與
2,製作人
2,視帝
2,親密
2,覺得
2,觀察
2,解釋
2,記者
2,證實
2,讓他
2,象深
2,負面
2,路易的第
2,跳票
2,轟三立
2,退休
2,這些
2,這樣
2,這次
2,過去
2,過程
2,還得
2,還珠
2,郭富城
2,里長
2,錢柏渝
2,鏡頭
2,長大了
2,門諾基金會
2,閃電結婚
2,間接認愛
2,防彈少年團
2,阿爾發
2,附近居民
2,除了
2,陪伴
2,陰影
2,陳鎮川
2,陷入熱戀
2,雖然
2,雞排
2,電視台
2,震動
2,露骨
2,音樂
2,音準不佳
2,頒獎典禮
2,食言
2,首張全創作
2,香港億萬富豪
2,駁回
2,驚傳
2,驚爆
2,高富帥
2,高雄
2,魔幻力量
2,魔法世界
2,麻衣
2,黃曉明
2,黃金
2,黃鐙輝
2,鼻酸